t	angle
6.46E+01	0.92796
6.46E+01	0.930493
6.47E+01	0.93212
6.47E+01	0.932122
6.47E+01	0.932082
6.47E+01	0.929423
6.47E+01	0.925596
6.47E+01	0.921453
6.48E+01	0.914502
6.48E+01	0.90739
6.48E+01	0.896189
6.48E+01	0.885214
6.48E+01	0.872098
6.48E+01	0.855243
6.49E+01	0.839598
6.49E+01	0.817172
6.49E+01	0.793318
6.49E+01	0.76858
6.49E+01	0.742337
6.49E+01	0.707441
6.50E+01	0.67221
6.50E+01	0.63798
6.50E+01	0.594078
6.50E+01	0.556099
6.50E+01	0.513329
6.50E+01	0.462493
6.51E+01	0.419376
6.51E+01	0.370882
6.51E+01	0.322636
6.51E+01	0.282101
6.51E+01	0.229754
6.51E+01	0.189483
6.52E+01	0.150042
6.52E+01	0.109396
6.52E+01	0.082024
6.52E+01	0.045067
6.52E+01	0.011979
6.52E+01	-0.01598
6.53E+01	-0.03924
6.53E+01	-0.05807
6.53E+01	-0.0715
6.53E+01	-0.0845
6.53E+01	-0.09391
6.53E+01	-0.09713
6.54E+01	-0.10053
6.54E+01	-0.10001
6.54E+01	-0.09208
6.54E+01	-0.08302
6.54E+01	-0.07241
6.54E+01	-0.05562
6.55E+01	-0.03822
6.55E+01	-0.01527
6.55E+01	0.010104
6.55E+01	0.037432
6.55E+01	0.074148
6.55E+01	0.107081
6.56E+01	0.143344
6.56E+01	0.180211
6.56E+01	0.219734
6.56E+01	0.266646
6.56E+01	0.309452
6.56E+01	0.355795
6.57E+01	0.402234
6.57E+01	0.449635
6.57E+01	0.489626
6.57E+01	0.530927
6.57E+01	0.580832
6.57E+01	0.615937
6.58E+01	0.653776
6.58E+01	0.690373
6.58E+01	0.725199
6.58E+01	0.755202
6.58E+01	0.785544
6.58E+01	0.805185
6.59E+01	0.826961
6.59E+01	0.845354
6.59E+01	0.861516
6.59E+01	0.875369
6.59E+01	0.888618
6.59E+01	0.899197
6.60E+01	0.906857
6.60E+01	0.914798
6.60E+01	0.919898
6.60E+01	0.923932
6.60E+01	0.92638
6.60E+01	0.927869
6.61E+01	0.927647
6.61E+01	0.927157
6.61E+01	0.924401
6.61E+01	0.920435
6.61E+01	0.915479
6.61E+01	0.90869
6.62E+01	0.90098
6.62E+01	0.890046
6.62E+01	0.878369
6.62E+01	0.865215
6.62E+01	0.849794
6.62E+01	0.830253
6.63E+01	0.808643
6.63E+01	0.789889
6.63E+01	0.762865
6.63E+01	0.731192
6.63E+01	0.702702
6.63E+01	0.6664
6.64E+01	0.626818
6.64E+01	0.592677
6.64E+01	0.548545
6.64E+01	0.505189
6.64E+01	0.459029
6.64E+01	0.41737
6.65E+01	0.370892
6.65E+01	0.32015
6.65E+01	0.27417
6.65E+01	0.233241
6.65E+01	0.189911
6.65E+01	0.149448
6.66E+01	0.110951
6.66E+01	0.083996
6.66E+01	0.046573
6.66E+01	0.016842
6.66E+01	0.001997
6.66E+01	-0.03333
6.67E+01	-0.04874
6.67E+01	-0.05931
6.67E+01	-0.0706
6.67E+01	-0.08194
6.67E+01	-0.08812
6.67E+01	-0.08687
6.68E+01	-0.08467
6.68E+01	-0.08252
6.68E+01	-0.0703
6.68E+01	-0.05685
6.68E+01	-0.03996
6.68E+01	-0.02218
6.69E+01	0.001056
6.69E+01	0.030074
6.69E+01	0.057326
6.69E+01	0.089383
6.69E+01	0.125089
6.69E+01	0.159675
6.70E+01	0.199423
6.70E+01	0.243187
6.70E+01	0.279474
6.70E+01	0.325672
6.70E+01	0.368186
6.70E+01	0.415022
6.71E+01	0.457813
6.71E+01	0.504723
6.71E+01	0.543873
6.71E+01	0.583598
6.71E+01	0.623917
6.71E+01	0.663685
6.72E+01	0.696444
6.72E+01	0.728582
6.72E+01	0.75994
6.72E+01	0.786569
6.72E+01	0.807859
6.72E+01	0.826162
6.73E+01	0.84429
6.73E+01	0.860163
6.73E+01	0.874255
6.73E+01	0.886141
6.73E+01	0.897282
6.73E+01	0.904746
6.74E+01	0.911314
6.74E+01	0.916681
6.74E+01	0.920875
6.74E+01	0.92308
6.74E+01	0.923726
6.74E+01	0.923706
6.75E+01	0.922919
6.75E+01	0.920061
6.75E+01	0.915947
6.75E+01	0.909886
6.75E+01	0.903958
6.75E+01	0.896451
6.76E+01	0.884567
6.76E+01	0.874883
6.76E+01	0.859184
6.76E+01	0.843911
6.76E+01	0.827024
6.76E+01	0.807322
6.77E+01	0.783409
6.77E+01	0.758706
6.77E+01	0.731107
6.77E+01	0.699345
6.77E+01	0.662673
6.77E+01	0.628132
6.78E+01	0.589008
6.78E+01	0.544609
6.78E+01	0.503191
6.78E+01	0.454702
6.78E+01	0.418578
6.78E+01	0.370789
6.79E+01	0.323864
6.79E+01	0.27753
6.79E+01	0.231631
6.79E+01	0.195136
6.79E+01	0.157004
6.79E+01	0.123687
6.80E+01	0.096196
6.80E+01	0.05774
6.80E+01	0.03034
6.80E+01	0.00948
6.80E+01	-0.01196
6.80E+01	-0.03169
6.81E+01	-0.04755
6.81E+01	-0.06121
6.81E+01	-0.06752
6.81E+01	-0.07295
6.81E+01	-0.0721
6.81E+01	-0.07138
6.82E+01	-0.06149
6.82E+01	-0.05431
6.82E+01	-0.03818
6.82E+01	-0.021
6.82E+01	-0.00581
6.82E+01	0.022001
6.83E+01	0.047398
6.83E+01	0.075814
6.83E+01	0.109997
6.83E+01	0.144755
6.83E+01	0.181843
6.83E+01	0.217799
6.84E+01	0.258783
6.84E+01	0.299588
6.84E+01	0.345551
6.84E+01	0.39184
6.84E+01	0.430594
6.84E+01	0.478018
6.85E+01	0.519642
6.85E+01	0.558251
6.85E+01	0.593143
6.85E+01	0.63251
6.85E+01	0.666933
6.85E+01	0.707919
6.86E+01	0.732342
6.86E+01	0.759139
6.86E+01	0.79309
6.86E+01	0.809494
6.86E+01	0.82494
6.86E+01	0.844921
6.87E+01	0.858842
6.87E+01	0.872447
6.87E+01	0.883823
6.87E+01	0.894462
6.87E+01	0.902286
6.87E+01	0.908575
6.88E+01	0.913717
6.88E+01	0.917549
6.88E+01	0.919172
6.88E+01	0.920263
6.88E+01	0.920102
6.88E+01	0.917728
6.89E+01	0.915885
6.89E+01	0.911859
6.89E+01	0.904938
6.89E+01	0.898733
6.89E+01	0.889753
6.89E+01	0.878892
6.90E+01	0.866532
6.90E+01	0.853208
6.90E+01	0.83723
6.90E+01	0.823696
6.90E+01	0.797078
6.90E+01	0.77499
6.91E+01	0.753052
6.91E+01	0.721162
6.91E+01	0.688563
6.91E+01	0.65197
6.91E+01	0.616
6.91E+01	0.57607
6.92E+01	0.532716
6.92E+01	0.491646
6.92E+01	0.449544
6.92E+01	0.403988
6.92E+01	0.362813
6.92E+01	0.315428
6.93E+01	0.272038
6.93E+01	0.231049
6.93E+01	0.194823
6.93E+01	0.154137
6.93E+01	0.117785
6.93E+01	0.091188
6.94E+01	0.060883
6.94E+01	0.030686
6.94E+01	0.006436
6.94E+01	-0.01442
6.94E+01	-0.03107
6.94E+01	-0.04357
6.95E+01	-0.05709
6.95E+01	-0.06265
6.95E+01	-0.06581
6.95E+01	-0.06061
6.95E+01	-0.06199
6.95E+01	-0.05766
6.96E+01	-0.0441
6.96E+01	-0.02894
6.96E+01	-0.01259
6.96E+01	0.010775
6.96E+01	0.030326
6.96E+01	0.052991
6.97E+01	0.086662
6.97E+01	0.12569
6.97E+01	0.151422
6.97E+01	0.187991
6.97E+01	0.2264
6.97E+01	0.267383
6.98E+01	0.314548
6.98E+01	0.349392
6.98E+01	0.390626
6.98E+01	0.434544
6.98E+01	0.483885
6.98E+01	0.525683
6.99E+01	0.56081
6.99E+01	0.60039
6.99E+01	0.639095
6.99E+01	0.672841
6.99E+01	0.707194
6.99E+01	0.750609
7.00E+01	0.763571
7.00E+01	0.784949
7.00E+01	0.8114
7.00E+01	0.826244
7.00E+01	0.843019
7.00E+01	0.858396
7.01E+01	0.869626
7.01E+01	0.881671
7.01E+01	0.89063
7.01E+01	0.897732
7.01E+01	0.904473
7.01E+01	0.91104
7.02E+01	0.912765
7.02E+01	0.914636
7.02E+01	0.914896
7.02E+01	0.914587
7.02E+01	0.912643
7.02E+01	0.910259
7.03E+01	0.905611
7.03E+01	0.898734
7.03E+01	0.892055
7.03E+01	0.882644
7.03E+01	0.871432
7.03E+01	0.859847
7.04E+01	0.846816
7.04E+01	0.827662
7.04E+01	0.8096
7.04E+01	0.786013
7.04E+01	0.765008
7.04E+01	0.743388
7.05E+01	0.70912
7.05E+01	0.677351
7.05E+01	0.644238
7.05E+01	0.608299
7.05E+01	0.568858
7.05E+01	0.528169
7.06E+01	0.482799
7.06E+01	0.441763
7.06E+01	0.397752
7.06E+01	0.358498
7.06E+01	0.308434
7.06E+01	0.266331
7.07E+01	0.22511
7.07E+01	0.196349
7.07E+01	0.156023
7.07E+01	0.123218
7.07E+01	0.087668
7.07E+01	0.070207
7.08E+01	0.028576
7.08E+01	0.005968
7.08E+01	-0.01279
7.08E+01	-0.02473
7.08E+01	-0.03845
7.08E+01	-0.04983
7.09E+01	-0.05513
7.09E+01	-0.05859
7.09E+01	-0.0594
7.09E+01	-0.0545
7.09E+01	-0.04575
7.09E+01	-0.03517
7.10E+01	-0.02005
7.10E+01	-0.00087
7.10E+01	0.019133
7.10E+01	0.041502
7.10E+01	0.065785
7.10E+01	0.101323
7.11E+01	0.13264
7.11E+01	0.166948
7.11E+01	0.200889
7.11E+01	0.240386
7.11E+01	0.273233
7.11E+01	0.319742
7.12E+01	0.362352
7.12E+01	0.403461
7.12E+01	0.445667
7.12E+01	0.489883
7.12E+01	0.530254
7.12E+01	0.568369
7.13E+01	0.608154
7.13E+01	0.644054
7.13E+01	0.676716
7.13E+01	0.707497
7.13E+01	0.736117
7.13E+01	0.760671
7.14E+01	0.785897
7.14E+01	0.808875
7.14E+01	0.827438
7.14E+01	0.841419
7.14E+01	0.856467
7.14E+01	0.86984
7.15E+01	0.878857
7.15E+01	0.887662
7.15E+01	0.89541
7.15E+01	0.901169
7.15E+01	0.905627
7.15E+01	0.908235
7.16E+01	0.909809
7.16E+01	0.910206
7.16E+01	0.909927
7.16E+01	0.908516
7.16E+01	0.905048
7.16E+01	0.900155
7.17E+01	0.89409
7.17E+01	0.885864
7.17E+01	0.877289
7.17E+01	0.865847
7.17E+01	0.852763
7.17E+01	0.837955
7.18E+01	0.823102
7.18E+01	0.802395
7.18E+01	0.784076
7.18E+01	0.761316
7.18E+01	0.726961
7.18E+01	0.697564
7.19E+01	0.666966
7.19E+01	0.631906
7.19E+01	0.594429
7.19E+01	0.559838
7.19E+01	0.516844
7.19E+01	0.473858
7.20E+01	0.430173
7.20E+01	0.394694
7.20E+01	0.345724
7.20E+01	0.309175
7.20E+01	0.268819
7.20E+01	0.223771
7.21E+01	0.18619
7.21E+01	0.150268
7.21E+01	0.116799
7.21E+01	0.084184
7.21E+01	0.052503
7.21E+01	0.024109
7.22E+01	0.00717
7.22E+01	-0.01121
7.22E+01	-0.02831
7.22E+01	-0.03916
7.22E+01	-0.04627
7.22E+01	-0.05455
7.23E+01	-0.05109
7.23E+01	-0.05063
7.23E+01	-0.04679
7.23E+01	-0.04025
7.23E+01	-0.02697
7.23E+01	-0.0136
7.24E+01	0.009855
7.24E+01	0.026838
7.24E+01	0.049249
7.24E+01	0.076416
7.24E+01	0.107088
7.24E+01	0.143817
7.25E+01	0.177173
7.25E+01	0.212708
7.25E+01	0.250106
7.25E+01	0.286993
7.25E+01	0.32942
7.25E+01	0.368057
7.26E+01	0.412837
7.26E+01	0.455444
7.26E+01	0.492959
7.26E+01	0.534572
7.26E+01	0.571131
7.26E+01	0.607615
7.27E+01	0.642523
7.27E+01	0.678051
7.27E+01	0.707644
7.27E+01	0.73759
7.27E+01	0.765241
7.27E+01	0.788314
7.28E+01	0.807378
7.28E+01	0.825531
7.28E+01	0.840185
7.28E+01	0.854457
7.28E+01	0.867083
7.28E+01	0.876869
7.29E+01	0.8855
7.29E+01	0.891799
7.29E+01	0.898161
7.29E+01	0.902232
7.29E+01	0.904124
7.29E+01	0.905781
7.30E+01	0.905876
7.30E+01	0.905541
7.30E+01	0.902713
7.30E+01	0.899813
7.30E+01	0.895067
7.30E+01	0.888979
7.31E+01	0.879707
7.31E+01	0.870786
7.31E+01	0.858995
7.31E+01	0.847947
7.31E+01	0.833403
7.31E+01	0.816474
7.32E+01	0.796886
7.32E+01	0.779534
7.32E+01	0.751632
7.32E+01	0.724265
7.32E+01	0.693915
7.32E+01	0.663084
7.33E+01	0.62397
7.33E+01	0.586314
7.33E+01	0.548981
7.33E+01	0.510403
7.33E+01	0.470665
7.33E+01	0.426277
7.34E+01	0.392212
7.34E+01	0.351054
7.34E+01	0.305121
7.34E+01	0.269667
7.34E+01	0.22291
7.34E+01	0.186076
7.35E+01	0.160268
7.35E+01	0.116994
7.35E+01	0.089533
7.35E+01	0.061264
7.35E+01	0.037104
7.35E+01	0.017368
7.36E+01	0.004531
7.36E+01	-0.01634
7.36E+01	-0.02188
7.36E+01	-0.03147
7.36E+01	-0.04126
7.36E+01	-0.03818
7.37E+01	-0.03636
7.37E+01	-0.02906
7.37E+01	-0.02084
7.37E+01	-0.00909
7.37E+01	0.00996
7.37E+01	0.024431
7.38E+01	0.046748
7.38E+01	0.073114
7.38E+01	0.100888
7.38E+01	0.128194
7.38E+01	0.158543
7.38E+01	0.188833
7.39E+01	0.236298
7.39E+01	0.265994
7.39E+01	0.305188
7.39E+01	0.347051
7.39E+01	0.381842
7.39E+01	0.420926
7.40E+01	0.466755
7.40E+01	0.502642
7.40E+01	0.546008
7.40E+01	0.580163
7.40E+01	0.615486
7.40E+01	0.65206
7.41E+01	0.681099
7.41E+01	0.711738
7.41E+01	0.741344
7.41E+01	0.769025
7.41E+01	0.789127
7.41E+01	0.809132
7.42E+01	0.823811
7.42E+01	0.840627
7.42E+01	0.852069
7.42E+01	0.86475
7.42E+01	0.874251
7.42E+01	0.882361
7.43E+01	0.888784
7.43E+01	0.894009
7.43E+01	0.89756
7.43E+01	0.901318
7.43E+01	0.901655
7.43E+01	0.901681
7.44E+01	0.899897
7.44E+01	0.897562
7.44E+01	0.893615
7.44E+01	0.888357
7.44E+01	0.882072
7.44E+01	0.873794
7.45E+01	0.862813
7.45E+01	0.850507
7.45E+01	0.838871
7.45E+01	0.824755
7.45E+01	0.807503
7.45E+01	0.787556
7.46E+01	0.765983
7.46E+01	0.738574
7.46E+01	0.708485
7.46E+01	0.681908
7.46E+01	0.64979
7.46E+01	0.615573
7.47E+01	0.57707
7.47E+01	0.540099
7.47E+01	0.500595
7.47E+01	0.46474
7.47E+01	0.418429
7.47E+01	0.379247
7.48E+01	0.337967
7.48E+01	0.295325
7.48E+01	0.254052
7.48E+01	0.213784
7.48E+01	0.189128
7.48E+01	0.145312
7.49E+01	0.111386
7.49E+01	0.094051
7.49E+01	0.062477
7.49E+01	0.037756
7.49E+01	0.024127
7.49E+01	0.003535
7.50E+01	-0.00899
7.50E+01	-0.01783
7.50E+01	-0.02891
7.50E+01	-0.02998
7.50E+01	-0.03125
7.50E+01	-0.02834
7.51E+01	-0.02189
7.51E+01	-0.01165
7.51E+01	0.00281
7.51E+01	0.019823
7.51E+01	0.034994
7.51E+01	0.060676
7.52E+01	0.086808
7.52E+01	0.111637
7.52E+01	0.142598
7.52E+01	0.170873
7.52E+01	0.203639
7.52E+01	0.247282
7.53E+01	0.281049
7.53E+01	0.319904
7.53E+01	0.355188
7.53E+01	0.39489
7.53E+01	0.435324
7.53E+01	0.473078
7.54E+01	0.516977
7.54E+01	0.551303
7.54E+01	0.587179
7.54E+01	0.623204
7.54E+01	0.65589
7.54E+01	0.691626
7.55E+01	0.716496
7.55E+01	0.747911
7.55E+01	0.770502
7.55E+01	0.78975
7.55E+01	0.809364
7.55E+01	0.823919
7.56E+01	0.83923
7.56E+01	0.851189
7.56E+01	0.862577
7.56E+01	0.87217
7.56E+01	0.881472
7.56E+01	0.888211
7.57E+01	0.891664
7.57E+01	0.895373
7.57E+01	0.897604
7.57E+01	0.897928
7.57E+01	0.897908
7.57E+01	0.895916
7.58E+01	0.893471
7.58E+01	0.888727
7.58E+01	0.883383
7.58E+01	0.876815
7.58E+01	0.868315
7.58E+01	0.8576
7.59E+01	0.844898
7.59E+01	0.831283
7.59E+01	0.815519
7.59E+01	0.797013
7.59E+01	0.77937
7.59E+01	0.756179
7.60E+01	0.731136
7.60E+01	0.7021
7.60E+01	0.676588
7.60E+01	0.645836
7.60E+01	0.60965
7.60E+01	0.571771
7.61E+01	0.529413
7.61E+01	0.493626
7.61E+01	0.453148
7.61E+01	0.415699
7.61E+01	0.369363
7.61E+01	0.326172
7.62E+01	0.28951
7.62E+01	0.248997
7.62E+01	0.212046
7.62E+01	0.184008
7.62E+01	0.142634
7.62E+01	0.115551
7.63E+01	0.088053
7.63E+01	0.064736
7.63E+01	0.042971
7.63E+01	0.020975
7.63E+01	0.013296
7.63E+01	-0.00329
7.64E+01	-0.00933
7.64E+01	-0.01711
7.64E+01	-0.02192
7.64E+01	-0.02291
7.64E+01	-0.01594
7.64E+01	-0.00897
7.65E+01	0.004848
7.65E+01	0.018802
7.65E+01	0.036452
7.65E+01	0.053142
7.65E+01	0.075812
7.65E+01	0.100709
7.66E+01	0.12628
7.66E+01	0.156173
7.66E+01	0.191657
7.66E+01	0.222371
7.66E+01	0.261038
7.66E+01	0.300524
7.67E+01	0.334864
7.67E+01	0.373143
7.67E+01	0.411823
7.67E+01	0.451094
7.67E+01	0.48988
7.67E+01	0.52905
7.68E+01	0.566386
7.68E+01	0.599307
7.68E+01	0.629008
7.68E+01	0.66338
7.68E+01	0.691325
7.68E+01	0.720707
7.69E+01	0.746651
7.69E+01	0.770385
7.69E+01	0.789974
7.69E+01	0.809634
7.69E+01	0.826617
7.69E+01	0.839303
7.70E+01	0.850496
7.70E+01	0.862422
7.70E+01	0.871038
7.70E+01	0.878152
7.70E+01	0.883424
7.70E+01	0.888369
7.71E+01	0.892261
7.71E+01	0.893517
7.71E+01	0.8941
7.71E+01	0.893839
7.71E+01	0.891004
7.71E+01	0.888706
7.72E+01	0.883922
7.72E+01	0.877473
7.72E+01	0.868457
7.72E+01	0.860131
7.72E+01	0.849643
7.72E+01	0.835888
7.73E+01	0.823463
7.73E+01	0.808827
7.73E+01	0.787057
7.73E+01	0.77241
7.73E+01	0.745262
7.73E+01	0.719117
7.74E+01	0.689038
7.74E+01	0.661998
7.74E+01	0.629746
7.74E+01	0.597333
7.74E+01	0.559916
7.74E+01	0.523418
7.75E+01	0.481673
7.75E+01	0.440898
7.75E+01	0.396652
7.75E+01	0.363698
7.75E+01	0.320599
7.75E+01	0.285636
7.76E+01	0.246717
7.76E+01	0.216899
7.76E+01	0.177243
7.76E+01	0.143369
7.76E+01	0.116315
7.76E+01	0.101373
7.77E+01	0.061612
7.77E+01	0.052724
7.77E+01	0.03523
7.77E+01	0.019108
7.77E+01	0.008227
7.77E+01	0.002085
7.78E+01	-0.00714
7.78E+01	-0.01196
7.78E+01	-0.01132
7.78E+01	-0.0086
7.78E+01	0.001989
7.78E+01	0.014315
7.79E+01	0.031711
7.79E+01	0.044912
7.79E+01	0.072163
7.79E+01	0.092264
7.79E+01	0.114852
7.79E+01	0.142754
7.80E+01	0.174679
7.80E+01	0.209575
7.80E+01	0.243624
7.80E+01	0.279881
7.80E+01	0.308197
7.80E+01	0.349749
7.81E+01	0.394226
7.81E+01	0.4298
7.81E+01	0.469304
7.81E+01	0.501868
7.81E+01	0.539786
7.81E+01	0.576585
7.82E+01	0.612
7.82E+01	0.642473
7.82E+01	0.67415
7.82E+01	0.703755
7.82E+01	0.730241
7.82E+01	0.75054
7.83E+01	0.779803
7.83E+01	0.797012
7.83E+01	0.815062
7.83E+01	0.82715
7.83E+01	0.83972
7.83E+01	0.849849
7.84E+01	0.859538
7.84E+01	0.868135
7.84E+01	0.875114
7.84E+01	0.881189
7.84E+01	0.884102
7.84E+01	0.888297
7.85E+01	0.889247
7.85E+01	0.889663
7.85E+01	0.888998
7.85E+01	0.887582
7.85E+01	0.883037
7.85E+01	0.877957
7.86E+01	0.871152
7.86E+01	0.864011
7.86E+01	0.853846
7.86E+01	0.842922
7.86E+01	0.831585
7.86E+01	0.815507
7.87E+01	0.800947
7.87E+01	0.78366
7.87E+01	0.761809
7.87E+01	0.733632
7.87E+01	0.709401
7.87E+01	0.681851
7.88E+01	0.650791
7.88E+01	0.618184
7.88E+01	0.585737
7.88E+01	0.546084
7.88E+01	0.508641
7.88E+01	0.471479
7.89E+01	0.431787
7.89E+01	0.394077
7.89E+01	0.356423
7.89E+01	0.311189
7.89E+01	0.272907
7.89E+01	0.246577
7.90E+01	0.208968
7.90E+01	0.174324
7.90E+01	0.137785
7.90E+01	0.121445
7.90E+01	0.091112
7.90E+01	0.072785
7.91E+01	0.056009
7.91E+01	0.030618
7.91E+01	0.018164
7.91E+01	0.012556
7.91E+01	0.005248
7.91E+01	7.24E-05
7.92E+01	-0.00188
7.92E+01	-0.00085
7.92E+01	0.005231
7.92E+01	0.013259
7.92E+01	0.027664
7.92E+01	0.043848
7.93E+01	0.057065
7.93E+01	0.082962
7.93E+01	0.106361
7.93E+01	0.125629
7.93E+01	0.158076
7.93E+01	0.194704
7.94E+01	0.222193
7.94E+01	0.260012
7.94E+01	0.28994
7.94E+01	0.322636
7.94E+01	0.364935
7.94E+01	0.400901
7.95E+01	0.437928
7.95E+01	0.472564
7.95E+01	0.510797
7.95E+01	0.548457
7.95E+01	0.585257
7.95E+01	0.617965
7.96E+01	0.646007
7.96E+01	0.678647
7.96E+01	0.704998
7.96E+01	0.731321
7.96E+01	0.758763
7.96E+01	0.77927
7.97E+01	0.795064
7.97E+01	0.810206
7.97E+01	0.825829
7.97E+01	0.837897
7.97E+01	0.850004
7.97E+01	0.85888
7.98E+01	0.867083
7.98E+01	0.873202
7.98E+01	0.877871
7.98E+01	0.882383
7.98E+01	0.884443
7.98E+01	0.88551
7.99E+01	0.885467
7.99E+01	0.88402
7.99E+01	0.88042
7.99E+01	0.877322
7.99E+01	0.871496
7.99E+01	0.865092
8.00E+01	0.857087
8.00E+01	0.847148
8.00E+01	0.83404
8.00E+01	0.819167
8.00E+01	0.805269
8.00E+01	0.790206
8.01E+01	0.76696
8.01E+01	0.746304
8.01E+01	0.726651
8.01E+01	0.694344
8.01E+01	0.66396
8.01E+01	0.631423
8.02E+01	0.598196
8.02E+01	0.56306
8.02E+01	0.529011
8.02E+01	0.492973
8.02E+01	0.452598
8.02E+01	0.408127
8.03E+01	0.373354
8.03E+01	0.333334
8.03E+01	0.294484
8.03E+01	0.260322
8.03E+01	0.233969
8.03E+01	0.203371
8.04E+01	0.176843
8.04E+01	0.139648
8.04E+01	0.118944
8.04E+01	0.085747
8.04E+01	0.059488
8.04E+01	0.041986
8.05E+01	0.027805
8.05E+01	0.01492
8.05E+01	0.008909
8.05E+01	0.002508
8.05E+01	3.29E-05
8.05E+01	0.000753
8.06E+01	0.005081
8.06E+01	0.012227
8.06E+01	0.020364
8.06E+01	0.038086
8.06E+01	0.05126
8.06E+01	0.073177
8.07E+01	0.090895
8.07E+01	0.112723
8.07E+01	0.143972
8.07E+01	0.169289
8.07E+01	0.195831
8.07E+01	0.228137
8.08E+01	0.262346
8.08E+01	0.299364
8.08E+01	0.329342
8.08E+01	0.369659
8.08E+01	0.405466
8.08E+01	0.445987
8.09E+01	0.480779
8.09E+01	0.516948
8.09E+01	0.551764
8.09E+01	0.585589
8.09E+01	0.62024
8.09E+01	0.648979
8.10E+01	0.680204
8.10E+01	0.70649
8.10E+01	0.733109
8.10E+01	0.758073
8.10E+01	0.778746
8.10E+01	0.798318
8.11E+01	0.811662
8.11E+01	0.823879
8.11E+01	0.837121
8.11E+01	0.848349
8.11E+01	0.857019
8.11E+01	0.865052
8.12E+01	0.871152
8.12E+01	0.876063
8.12E+01	0.879121
8.12E+01	0.880765
8.12E+01	0.882483
8.12E+01	0.882198
8.13E+01	0.879352
8.13E+01	0.876786
8.13E+01	0.871917
8.13E+01	0.865773
8.13E+01	0.858871
8.13E+01	0.85001
8.14E+01	0.842773
8.14E+01	0.829613
8.14E+01	0.813924
8.14E+01	0.801059
8.14E+01	0.779479
8.14E+01	0.760997
8.15E+01	0.736904
8.15E+01	0.718773
8.15E+01	0.687391
8.15E+01	0.65559
8.15E+01	0.622661
8.15E+01	0.590294
8.16E+01	0.560021
8.16E+01	0.525197
8.16E+01	0.488558
8.16E+01	0.451787
8.16E+01	0.411871
8.16E+01	0.372526
8.17E+01	0.336482
8.17E+01	0.293823
8.17E+01	0.26598
8.17E+01	0.225742
8.17E+01	0.19438
8.17E+01	0.167302
8.18E+01	0.143625
8.18E+01	0.110316
8.18E+01	0.092281
8.18E+01	0.069226
8.18E+01	0.05183
8.18E+01	0.040172
8.19E+01	0.03197
8.19E+01	0.022076
8.19E+01	0.019597
8.19E+01	0.019012
8.19E+01	0.019843
8.19E+01	0.020945
8.20E+01	0.032257
8.20E+01	0.041683
8.20E+01	0.055548
8.20E+01	0.0671
8.20E+01	0.092027
8.20E+01	0.114586
8.21E+01	0.138601
8.21E+01	0.162318
8.21E+01	0.189338
8.21E+01	0.226489
8.21E+01	0.256455
8.21E+01	0.286398
8.22E+01	0.321753
8.22E+01	0.348251
8.22E+01	0.393588
8.22E+01	0.433809
8.22E+01	0.468684
8.22E+01	0.507443
8.23E+01	0.537203
8.23E+01	0.568358
8.23E+01	0.604471
8.23E+01	0.632522
8.23E+01	0.664185
8.23E+01	0.690389
8.24E+01	0.719714
8.24E+01	0.740583
8.24E+01	0.764887
8.24E+01	0.783422
8.24E+01	0.79903
8.24E+01	0.815529
8.25E+01	0.827349
8.25E+01	0.838148
8.25E+01	0.847992
8.25E+01	0.856046
8.25E+01	0.865501
8.25E+01	0.869699
8.26E+01	0.874252
8.26E+01	0.876709
8.26E+01	0.879268
8.26E+01	0.879328
8.26E+01	0.877265
8.26E+01	0.87549
8.27E+01	0.872443
8.27E+01	0.867021
8.27E+01	0.860698
8.27E+01	0.852604
8.27E+01	0.843633
8.27E+01	0.832671
8.28E+01	0.82343
8.28E+01	0.810871
8.28E+01	0.790514
8.28E+01	0.774376
8.28E+01	0.751363
8.28E+01	0.726447
8.29E+01	0.704436
8.29E+01	0.677327
8.29E+01	0.643725
8.29E+01	0.615192
8.29E+01	0.579684
8.29E+01	0.546825
8.30E+01	0.506695
8.30E+01	0.466857
8.30E+01	0.438675
8.30E+01	0.391359
8.30E+01	0.359909
8.30E+01	0.323444
8.31E+01	0.285145
8.31E+01	0.254153
8.31E+01	0.217096
8.31E+01	0.187584
8.31E+01	0.160368
8.31E+01	0.128146
8.32E+01	0.100872
8.32E+01	0.084112
8.32E+01	0.064111
8.32E+01	0.052523
8.32E+01	0.04
8.32E+01	0.035738
8.33E+01	0.022234
8.33E+01	0.018531
8.33E+01	0.020782
8.33E+01	0.021023
8.33E+01	0.024885
8.33E+01	0.035005
8.34E+01	0.04591
8.34E+01	0.062141
8.34E+01	0.076547
8.34E+01	0.098459
8.34E+01	0.119955
8.34E+01	0.147581
8.35E+01	0.171502
8.35E+01	0.198372
8.35E+01	0.233893
8.35E+01	0.260154
8.35E+01	0.296544
8.35E+01	0.32464
8.36E+01	0.363258
8.36E+01	0.400574
8.36E+01	0.439579
8.36E+01	0.473558
8.36E+01	0.5079
8.36E+01	0.541428
8.37E+01	0.574636
8.37E+01	0.609018
8.37E+01	0.63741
8.37E+01	0.670879
8.37E+01	0.6927
8.37E+01	0.717625
8.38E+01	0.742672
8.38E+01	0.770305
8.38E+01	0.789099
8.38E+01	0.801243
8.38E+01	0.813083
8.38E+01	0.827031
8.39E+01	0.838179
8.39E+01	0.84738
8.39E+01	0.855746
