t	angle	cycles
4.580000000	0.802624000	2
4.600000000	0.803971000	2
4.620000000	0.808681000	2
4.630000000	0.815440000	2
4.650000000	0.829122000	2
4.670000000	0.843048000	2
4.680000000	0.861710000	2
4.700000000	0.882608000	2
4.720000000	0.903839000	2
4.730000000	0.939652000	2
4.750000000	0.959099000	2
4.770000000	0.972558000	2
4.780000000	0.974892000	2
4.800000000	0.989983000	2
4.820000000	0.999211000	2
4.830000000	0.997403000	2
4.850000000	0.983863000	2
4.870000000	0.960942000	2
4.900000000	0.876253000	2
4.920000000	0.808918000	2
4.930000000	0.722791000	2
4.950000000	0.619042000	2
4.970000000	0.489688000	2
4.980000000	0.336674000	2
5.000000000	0.260357000	2
5.020000000	0.086637000	2
5.030000000	-0.096030000	2
5.050000000	-0.231130000	2
5.070000000	-0.340190000	2
5.080000000	-0.442510000	2
5.100000000	-0.448620000	2
5.120000000	-0.471080000	2
5.130000000	-0.533740000	2
5.150000000	-0.720000000	2
5.170000000	-0.745680000	2
5.180000000	-0.794320000	3
5.200000000	-0.827590000	3
5.230000000	-0.853480000	3
5.280000000	-0.896260000	3
5.300000000	-0.897150000	3
5.370000000	-0.815920000	3
5.380000000	-0.835550000	3
5.400000000	-0.812280000	3
5.420000000	-0.813460000	3
5.430000000	-0.784740000	3
5.470000000	-0.620280000	3
5.500000000	-0.516660000	3
5.520000000	-0.400550000	3
5.530000000	-0.368740000	3
5.550000000	-0.295200000	3
5.570000000	-0.207370000	3
5.580000000	-0.007350000	3
5.600000000	0.136634000	3
5.620000000	0.315529000	3
5.630000000	0.401915000	3
5.650000000	0.533636000	3
5.670000000	0.629140000	3
5.700000000	0.841028000	3
5.720000000	0.882373000	3
5.730000000	0.933315000	3
5.750000000	0.968553000	3
5.780000000	0.999489000	3
5.800000000	0.997580000	3
5.820000000	0.987819000	3
5.830000000	0.989068000	3
5.850000000	0.975541000	3
5.870000000	0.955512000	3
5.880000000	0.935954000	3
5.900000000	0.898116000	3
5.920000000	0.877296000	3
5.930000000	0.861325000	3
5.950000000	0.843096000	3
5.970000000	0.829823000	3
5.980000000	0.819064000	3
6.000000000	0.815363000	3
6.020000000	0.816639000	3
6.030000000	0.816466000	3
6.050000000	0.818919000	3
6.070000000	0.829247000	3
6.080000000	0.843907000	3
6.100000000	0.857852000	3
6.120000000	0.877140000	3
6.130000000	0.896442000	3
6.150000000	0.920050000	3
6.170000000	0.949179000	3
6.180000000	0.965427000	3
6.220000000	0.996543000	3
6.230000000	0.999950000	3
6.250000000	0.996317000	3
6.270000000	0.993010000	3
6.280000000	0.973983000	3
6.300000000	0.943098000	3
6.320000000	0.900365000	3
6.330000000	0.841848000	3
6.350000000	0.787710000	3
6.370000000	0.694806000	3
6.400000000	0.455366000	3
6.430000000	0.052077000	3
6.450000000	-0.081460000	3
6.470000000	-0.172110000	3
6.480000000	-0.241780000	3
6.500000000	-0.341850000	3
6.520000000	-0.352700000	3
6.530000000	-0.382680000	3
6.550000000	-0.501440000	3
6.570000000	-0.579170000	4
6.580000000	-0.639710000	4
6.600000000	-0.682950000	4
6.620000000	-0.721230000	4
6.630000000	-0.747600000	4
6.650000000	-0.774080000	4
6.670000000	-0.785520000	4
6.680000000	-0.798260000	4
6.700000000	-0.806770000	4
6.720000000	-0.815960000	4
6.730000000	-0.814480000	4
6.750000000	-0.812350000	4
6.770000000	-0.806220000	4
6.780000000	-0.797050000	4
6.800000000	-0.783370000	4
6.820000000	-0.765180000	4
6.830000000	-0.740680000	4
6.850000000	-0.746300000	4
6.870000000	-0.673610000	4
6.880000000	-0.654900000	4
6.900000000	-0.597780000	4
6.920000000	-0.514050000	4
6.930000000	-0.516650000	4
6.950000000	-0.437270000	4
6.970000000	-0.335290000	4
6.980000000	-0.269650000	4
7.000000000	-0.166410000	4
7.020000000	0.044880000	4
7.030000000	0.222103000	4
7.050000000	0.333134000	4
7.070000000	0.451985000	4
7.080000000	0.575415000	4
7.100000000	0.681835000	4
7.120000000	0.774934000	4
7.130000000	0.851546000	4
7.180000000	0.975574000	4
7.200000000	0.992075000	4
7.220000000	0.999862000	4
7.230000000	0.997109000	4
7.250000000	0.982667000	4
7.270000000	0.987827000	4
7.280000000	0.974982000	4
7.300000000	0.957723000	4
7.320000000	0.937549000	4
7.330000000	0.919212000	4
7.350000000	0.884981000	4
7.370000000	0.891054000	4
7.380000000	0.855509000	4
7.400000000	0.848237000	4
7.420000000	0.837353000	4
7.430000000	0.832991000	4
7.450000000	0.831751000	4
7.470000000	0.833317000	4
7.480000000	0.840636000	4
7.500000000	0.852756000	4
7.520000000	0.864397000	4
7.530000000	0.878525000	4
7.550000000	0.900556000	4
7.570000000	0.931557000	4
7.580000000	0.946361000	4
7.600000000	0.965755000	4
7.620000000	0.965717000	4
7.630000000	0.977657000	4
7.650000000	0.990664000	4
7.670000000	0.997793000	4
7.680000000	0.998573000	4
7.700000000	0.985702000	4
7.720000000	0.964187000	4
7.730000000	0.921857000	4
7.750000000	0.886423000	4
7.770000000	0.824555000	4
7.780000000	0.759889000	4
7.830000000	0.441431000	4
7.850000000	0.330452000	4
7.880000000	-0.100440000	4
7.900000000	-0.208400000	4
7.920000000	-0.265400000	4
7.930000000	-0.359690000	4
7.950000000	-0.466290000	4
7.970000000	-0.544850000	5
7.980000000	-0.612190000	5
8.000000000	-0.651370000	5
8.020000000	-0.710480000	5
8.030000000	-0.742700000	5
8.050000000	-0.775460000	5
8.070000000	-0.801520000	5
8.080000000	-0.836650000	5
8.170000000	-0.818760000	5
8.180000000	-0.816500000	5
8.200000000	-0.808330000	5
8.220000000	-0.837930000	5
8.230000000	-0.778100000	5
